Operator,Date,System,City,State,County,Cause,Sub Cause,Fatalities,Injuries,Property_Damage_(A),Gross_Barrels_Spilled_(Haz Liq)_(B),Net_Barrels_Lost (Haz_Liq)_(B)(C),Value_of_Product_Lost_(D)
Bp Pipeline (North America) Inc.,3/4/08,HL,FREEMAN,MO,CASS,CORROSION,UNSPECIFIED CORROSION,0,0,16000,0,0,0
Bp Pipeline (North America) Inc.,2/27/08,HL,STREATOR,IL,LIVINGSTON,EXCAVATION DAMAGE,UNSPECIFIED EXCAVATION DAMAGE,0,0,10000,2,0,0
Bp Pipeline (North America) Inc.,2/22/08,HL,SCHERERVILLE,IN,LAKE,CORROSION,UNSPECIFIED CORROSION,0,0,35000,0,0,0
Bp Pipeline (North America) Inc.,2/17/08,HL,MANHATTAN,IL,WILL,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,10000,2,0,0
Bp Pipeline (North America) Inc.,2/6/08,HL,MANHATTAN,IL,WILL,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,30000,0,0,0
Bp Pipeline (North America) Inc.,1/18/08,HL,FREEMAN,MO,CASS,CORROSION,UNSPECIFIED CORROSION,0,0,15000,1,0,0
Bp Pipeline (North America) Inc.,11/4/07,HL,CUSHING,OK,PAYNE,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,8000,1,0,0
Bp Pipeline (North America) Inc.,9/10/07,HL,FREEMAN,MO,CASS,CORROSION,UNSPECIFIED CORROSION,0,0,15000,3,0,0
Bp Pipeline (North America) Inc.,8/24/07,HL,CUSHING,OK,PAYNE,CORROSION,UNSPECIFIED CORROSION,0,0,14000,4,0,0
Bp Pipeline (North America) Inc.,8/20/07,HL,MUNSTER,IN,LAKE,CORROSION,EXTERNAL,0,0,212000,0,0,0
Bp Pipeline (North America) Inc.,8/17/07,HL,MOKENA,IL,WILL,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,6500,0,0,0
Bp Pipeline (North America) Inc.,8/10/07,HL,TEXAS CITY,TX,GALVESTON,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,131488,120,20,15120
Bp Pipeline (North America) Inc.,6/14/07,HL,ALBERT,OK,CADDO,CORROSION,UNSPECIFIED CORROSION,0,0,20000,0,0,0
Bp Pipeline (North America) Inc.,5/21/07,HL,NIOTA,IL,HANCOCK,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,35000,1,0,0
Bp Pipeline (North America) Inc.,5/16/07,HL,MANHATTAN,IL,WILL,CORROSION,UNSPECIFIED CORROSION,0,0,37745,1,0,0
Bp Pipeline (North America) Inc.,5/5/07,HL,DRUMRIGHT,OK,CREEK,INCORRECT OPERATION,INCORRECT OPERATION,0,0,453000,45,0,3000
Bp Pipeline (North America) Inc.,5/1/07,HL,FREEMAN,MO,CASS,CORROSION,INTERNAL,0,0,35000,15,0,0
Bp Pipeline (North America) Inc.,4/16/07,HL,TEXAS CITY,TX,GALVESTON,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,682571,0,0,10
Bp Pipeline (North America) Inc.,3/19/07,HL,FREEMAN,MO,CASS,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED MATERIAL/WELD FAILURE,0,0,1900,0,0,0
Bp Pipeline (North America) Inc.,12/26/06,HL,CUSHING,OK,PAYNE,CORROSION,UNSPECIFIED CORROSION,0,0,8000,4,0,0
Bp Pipeline (North America) Inc.,12/18/06,HL,CAMERON,IL,WARREN,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,0,0,320345,3,1,0
Bp Pipeline (North America) Inc.,12/13/06,HL,CUSHING,OK,PAYNE,CORROSION,UNSPECIFIED CORROSION,0,0,10000,0,0,0
Bp Pipeline (North America) Inc.,11/6/06,HL,CUSHING,OK,PAYNE,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,9000,40,1,2000
Bp Pipeline (North America) Inc.,6/20/06,HL,BURAS,LA,PLAQUEMINES,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,0,0,187050,80,0,1050
Bp Pipeline (North America) Inc.,6/7/06,HL,ROTHVILLE,MO,CHARITON,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,0,0,20000,4,0,0
Bp Usfo/Logistics,1/13/14,HL,DAYTON,OH,MONTGOMERY,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,0,0,0,
Bp Usfo/Logistics,10/30/13,HL,760 ROOSEVELT AVENUE,NJ,MIDDLESEX,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,1520,0,0,
Bp Usfo/Logistics,5/12/12,HL,CARTERET,NJ,MIDDLESEX,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,7803,0,0,
Bp Usfo/Logistics,1/17/12,HL,760 ROOSEVELT AVENUE,NJ,MIDDLESEX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,311847,75,11,
Bp Usfo/Logistics,11/21/11,HL,CARTERET,NJ,MIDDLESEX,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,14300,1,0,
Bp Usfo/Logistics,3/10/11,HL,RIVER ROUGE,MI,WAYNE,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,19050,0,0,
Bp Usfo/Logistics,11/25/08,HL,CARTERET,NJ,MIDDLESEX,MATERIAL/WELD/EQUIP FAILURE,"THREADS STRIPPED, BROKEN PIPE COUPLING",0,0,5600,10,0,
Bp Usfo/Logistics,6/24/07,HL,CANTON,OH,STARK,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,144000,307,283,
Bp West Coast Products L.L.C.,2/27/13,HL,LONG BEACH,CA,LOS ANGELES,CORROSION,INTERNAL,0,0,150000,0,0,50
Bp West Coast Products L.L.C.,6/21/11,HL,LONG BEACH,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,45400,4,0,400
Bp West Coast Products L.L.C.,5/23/11,HL,LONG BEACH,CA,LOS ANGELES,CORROSION,INTERNAL,0,0,7900,4,3,400
Bp West Coast Products L.L.C.,5/3/11,HL,TORRANCE,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,4000,4,0,700
Bp West Coast Products L.L.C.,4/10/11,HL,LONG BEACH,CA,LOS ANGELES COUNTY,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,4600,0,0,100
Bp West Coast Products L.L.C.,12/28/10,HL,LONG BEACH,CA,LOS ANGELES,CORROSION,INTERNAL,0,0,860700,30,28,2700
Bp West Coast Products L.L.C.,11/28/10,HL,LONG BEACH,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,2000,0,0,0
Bp West Coast Products L.L.C.,11/11/10,HL,SIGNAL HILL,CA,LOS ANGELES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,765000,120,79,15000
Bp West Coast Products L.L.C.,2/25/09,HL,LONG BEACH,CA,LOS ANGELES,CORROSION,UNSPECIFIED CORROSION,0,0,21000,4,0,0
Bp West Coast Products L.L.C.,12/29/08,HL,LONG BEACH,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,15000,0,0,0
Bp West Coast Products L.L.C.,12/19/08,HL,LONG BEACH,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,0,0,100000,115,0,0
Bp West Coast Products L.L.C.,12/7/08,HL,SIGNAL HILL,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,25000,0,0,0
Bp West Coast Products L.L.C.,6/11/08,HL,SIGNAL HILL,CA,LOS ANGELES,INCORRECT OPERATION,UNSPECIFIED INCORRECT OPERATION,0,0,5000,1,0,0
Bp West Coast Products L.L.C.,12/30/07,HL,LONG BEACH,CA,LOS ANGELES,CORROSION,UNSPECIFIED CORROSION,0,0,10000,0,0,0
Bp West Coast Products L.L.C.,11/26/07,HL,LONG BEACH,CA,LOS ANGELES,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED EQUIPMENT FAILURE,0,0,5000,2,2,0
Bp West Coast Products L.L.C.,10/12/07,HL,LONG BEACH,CA,LOS ANGELES,INCORRECT OPERATION,INCORRECT OPERATION,0,0,10000,138,0,0
Bp West Coast Products L.L.C.,7/19/07,HL,LONG BEACH,CA,LOS ANGELES,CORROSION,EXTERNAL,0,0,153000,5,4,0
Bp West Coast Products L.L.C.,12/5/06,HL,LONG BEACH,CA,LOS ANGELES,CORROSION,EXTERNAL,0,0,314400,60,0,0
Bp West Coast Products L.L.C.,9/8/06,HL,LONG BEACH,CA,LOS ANGELES,CORROSION,EXTERNAL,0,0,4221000,1228,0,0
"Buckeye Partners, Lp",6/15/15,HL,AUBURN,NY,ONONGADA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,5000,5,0,
"Buckeye Partners, Lp",5/14/15,HL,PERTH AMBOY,NJ,MIDDLESEX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,3075,0,0,
"Buckeye Partners, Lp",4/29/15,HL,COSBY,MO,ANDREW,INCORRECT OPERATION,DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR,0,0,6030,0,0,
"Buckeye Partners, Lp",3/24/15,HL,LINDEN,NJ,UNION,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,4515,0,0,
"Buckeye Partners, Lp",3/16/15,HL,WALBRIDGE,OH,WOOD,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,30945,0,0,
"Buckeye Partners, Lp",3/12/15,HL,WAKEMAN,OH,HURON,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,6248,0,0,
"Buckeye Partners, Lp",3/8/15,HL,Not Within a Municipality,IL,WILL,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,331600,84,52,
"Buckeye Partners, Lp",3/1/15,HL,LINDEN,NJ,UNION,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,29100,0,0,
"Buckeye Partners, Lp",2/17/15,HL,PERTH AMBOY,NJ,MIDDLESEX,ALL OTHER CAUSES,UNKNOWN,0,0,187000,10,10,
"Buckeye Partners, Lp",1/27/15,HL,PERTH AMBOY,NJ,MIDDLESEX,ALL OTHER CAUSES,UNKNOWN,0,0,152000,0,0,
"Buckeye Partners, Lp",12/17/14,HL,EAST CHICAGO,IN,LAKE,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,26500,2,0,
"Buckeye Partners, Lp",12/11/14,HL,EAST CHICAGO,IN,LAKE,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,1550,0,0,
"Buckeye Partners, Lp",12/10/14,HL,LIMA,OH,ALLEN,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,15500,1,0,
"Buckeye Partners, Lp",11/24/14,HL,LIMA,OH,ALLEN,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0,0,18138,1,0,
"Buckeye Partners, Lp",11/20/14,HL,PERTH AMBOY,NJ,MIDDLESEX,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,152000,0,0,
"Buckeye Partners, Lp",9/26/14,HL,LINDEN,NJ,UNION,ALL OTHER CAUSES,MISCELLANEOUS,0,0,68594,10,9,
"Buckeye Partners, Lp",8/30/14,HL,PORT READING,NJ,MIDDLESEX,INCORRECT OPERATION,INCORRECT INSTALLATION,0,0,1500,2,0,
"Buckeye Partners, Lp",8/21/14,HL,LIMA,OH,ALLEN,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,8667,0,0,
"Buckeye Partners, Lp",8/20/14,HL,LINDEN,NJ,UNION,CORROSION,INTERNAL,0,0,976244,143,13,
"Buckeye Partners, Lp",7/25/14,HL,BOOTHWYN,PA,DELAWARE,NATURAL FORCE DAMAGE,LIGHTNING,0,0,248000,0,0,
"Buckeye Partners, Lp",6/20/14,HL,SUGAR CREEK,MO,JACKSON,CORROSION,INTERNAL,0,0,535150,11,8,
"Buckeye Partners, Lp",4/25/14,HL,HAMMOND,IN,LAKE,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,2650,0,0,
"Buckeye Partners, Lp",4/16/14,HL,OREGON,OH,LUCAS,ALL OTHER CAUSES,UNKNOWN,0,0,148740,5,2,
"Buckeye Partners, Lp",4/3/14,HL,FAYETTE,NY,SENECA,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,24250,0,0,
"Buckeye Partners, Lp",3/14/14,HL,KANKAKEE,IL,KANKAKEE,OTHER OUTSIDE FORCE DAMAGE,ELECTRICAL ARCING FROM OTHER EQUIPMENT/FACILITY,0,0,1987841,25,8,
"Buckeye Partners, Lp",3/14/14,HL,KANKAKEE,IL,KANKAKEE,OTHER OUTSIDE FORCE DAMAGE,ELECTRICAL ARCING FROM OTHER EQUIPMENT/FACILITY,0,0,2007118,5,0,
"Buckeye Partners, Lp",3/6/14,HL,KOUTS,IN,PORTER,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,791,0,0,
"Buckeye Partners, Lp",3/4/14,HL,LIMA,OH,ALLEN,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,243357,0,0,
"Buckeye Partners, Lp",3/4/14,HL,SCHERERVILLE,IN,LAKE,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,4276,0,0,
"Buckeye Partners, Lp",2/12/14,HL,CLEVELAND,OH,CUYAHOGA,NATURAL FORCE DAMAGE,EARTH MOVEMENT,0,0,200357,7,0,
"Buckeye Partners, Lp",2/9/14,HL,MUNGER,MI,BAY,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,22435,17,0,
"Buckeye Partners, Lp",2/5/14,HL,LINDEN,NJ,UNION,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,3080,0,0,
"Buckeye Partners, Lp",2/4/14,HL,HAMMOND,IN,LAKE,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,10103,0,0,
"Buckeye Partners, Lp",2/1/14,HL,EMMAUS,PA,LEHIGH,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,25719,12,0,
"Buckeye Partners, Lp",1/8/14,HL,LIMA,OH,ALLEN,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,41151,2,2,
"Buckeye Partners, Lp",1/6/14,HL,LINDEN,NJ,UNION,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,5000,0,0,
"Buckeye Partners, Lp",1/5/14,HL,SAN DIEGO,CA,SAN DIEGO,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,300000,65,7,
"Buckeye Partners, Lp",1/3/14,HL,HAMMOND,IN,LAKE,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,5882,0,0,
"Buckeye Partners, Lp",12/18/13,HL,EMMAUS,PA,LEHIGH,ALL OTHER CAUSES,UNKNOWN,0,0,10300,2,2,
"Buckeye Partners, Lp",10/16/13,HL,SCOTTSVILLE,NY,MONROE,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,0,0,254899,0,0,
"Buckeye Partners, Lp",9/26/13,HL,MACUNGIE,PA,LEHIGH,ALL OTHER CAUSES,MISCELLANEOUS,0,0,168361,3,3,
"Buckeye Partners, Lp",8/31/13,HL,GALT,MO,SULLIVAN,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,250,0,0,
"Buckeye Partners, Lp",8/13/13,HL,LINDEN,NJ,UNION,INCORRECT OPERATION,INCORRECT VALVE POSITION,0,0,27000,1,0,
"Buckeye Partners, Lp",8/8/13,HL,VESTAL,NY,BROOME,CORROSION,INTERNAL,0,0,52720,2,0,
"Buckeye Partners, Lp",5/17/13,HL,GREENVILLE,IL,BOND,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,342500,1,0,
"Buckeye Partners, Lp",5/11/13,HL,LORAIN,OH,LORAIN,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0,0,86440,1,0,
"Buckeye Partners, Lp",4/23/13,HL,EMMAUS,PA,,INCORRECT OPERATION,INCORRECT INSTALLATION,0,0,12500,0,0,
"Buckeye Partners, Lp",4/17/13,HL,LIMA,OH,ALLEN,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0,0,10000,0,0,
"Buckeye Partners, Lp",4/7/13,HL,,CT,,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,500,0,0,
"Buckeye Partners, Lp",4/5/13,HL,WAKEMAN STATION,OH,HURON,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,300,0,0,
"Buckeye Partners, Lp",4/3/13,HL,TEMPERANCE,MI,MONROE,ALL OTHER CAUSES,UNKNOWN,0,0,51000,0,0,
"Buckeye Partners, Lp",4/1/13,HL,TEMPERANCE,MI,MONROE,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,0,0,325409,2,1,
"Buckeye Partners, Lp",3/23/13,HL,EAST CHICAGO,IN,LAKE,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,148110,255,57,
"Buckeye Partners, Lp",12/10/12,HL,HILLSBOROUGH,NJ,SOMERSET,OTHER OUTSIDE FORCE DAMAGE,ELECTRICAL ARCING FROM OTHER EQUIPMENT/FACILITY,0,0,113318,48,32,
"Buckeye Partners, Lp",11/25/12,HL,EAST ST. LOUIS,IL,ST. CLAIR,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0,0,12200,0,0,
"Buckeye Partners, Lp",9/26/12,HL,HAMMOND,IN,LAKE,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0,0,3630,0,0,
"Buckeye Partners, Lp",9/3/12,HL,DETROIT,MI,WAYNE,CORROSION,EXTERNAL,0,0,20000,2,0,
"Buckeye Partners, Lp",7/13/12,HL,EMMAUS,PA,LEHIGH,CORROSION,EXTERNAL,0,0,380538,8,8,
"Buckeye Partners, Lp",6/17/12,HL,EMMAUS,PA,LEHIGH,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0,0,87000,100,73,
"Buckeye Partners, Lp",6/5/12,HL,MANTUA,OH,PORTAGE,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,1523241,0,0,
"Buckeye Partners, Lp",5/18/12,HL,MANHATTAN,IL,WILL,CORROSION,EXTERNAL,0,0,395779,2,0,
"Buckeye Partners, Lp",4/23/12,HL,LINDEN,NJ,UNION,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,4660,0,0,
"Buckeye Partners, Lp",4/5/12,HL,LIMA,OH,ALLEN,CORROSION,INTERNAL,0,0,923370,0,0,
"Buckeye Partners, Lp",2/7/12,HL,LIMA,OH,ALLEN,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,96000,0,0,
"Buckeye Partners, Lp",2/6/12,HL,HAMMOND,IN,LAKE,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,27228,0,0,
"Buckeye Partners, Lp",1/23/12,HL,WESTMORELAND,PA,HEMPFIELD TOWNSHIP,ALL OTHER CAUSES,MISCELLANEOUS,0,0,925,0,0,
"Buckeye Partners, Lp",10/26/11,HL,CARMEL,IN,HAMILTON,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,20000,9,0,
"Buckeye Partners, Lp",9/20/11,HL,AUBURN,NY,CAYUGA,CORROSION,INTERNAL,0,0,160185,23,1,
"Buckeye Partners, Lp",9/20/11,HL,AUBURN,NY,CAYUGA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,3397777,595,324,
"Buckeye Partners, Lp",8/18/11,HL,LIMA,OH,ALLEN,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,2152,0,0,
"Buckeye Partners, Lp",8/16/11,HL,SHARPSBURG,IL,CHRISTIAN,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,175080,20,0,
"Buckeye Partners, Lp",6/13/11,HL,DUNCANSVILLE,PA,BLAIR,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0,0,0,0,0,
"Buckeye Partners, Lp",5/17/11,HL,FINDLAY,OH,HANCOCK COUNTY,CORROSION,EXTERNAL,0,0,235710,2,0,
"Buckeye Partners, Lp",4/12/11,HL,,IN,HUNTINGTON,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0,0,25875,0,0,
"Buckeye Partners, Lp",3/20/11,HL,SHIPPINGPORT,PA,BEAVER,CORROSION,EXTERNAL,0,0,757637,300,32,
"Buckeye Partners, Lp",2/22/11,HL,BEDFORD PARK,IL,COOK,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,9535,0,0,
"Buckeye Partners, Lp",2/4/11,HL,ELKHART,IN,ELKHART,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,5250,1,0,
"Buckeye Partners, Lp",2/2/11,HL,NETHER PROVIDENCE,PA,DELAWARE,NATURAL FORCE DAMAGE,LIGHTNING,0,0,3200,0,0,
"Buckeye Partners, Lp",1/19/11,HL,EAST CHICAGO,IN,LAKE,INCORRECT OPERATION,INCORRECT INSTALLATION,0,0,75000,544,0,
"Buckeye Partners, Lp",1/15/11,HL,LINDEN,NJ,UNION,NATURAL FORCE DAMAGE,TEMPERATURE,0,0,35700,0,0,
"Buckeye Partners, Lp",12/11/10,HL,TAYLOR,MI,WAYNE,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,9514,29,0,
"Buckeye Partners, Lp",12/6/10,HL,LINDEN,NJ,UNION,CORROSION,INTERNAL,0,0,67600,3,0,
"Buckeye Partners, Lp",12/2/10,HL,NEW DOUGLAS,IL,MADISON,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,4709566,500,489,
"Buckeye Partners, Lp",9/16/10,HL,MARTINSVILLE,IL,CLARK,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0,0,940,0,0,
"Buckeye Partners, Lp",8/17/10,HL,BROOKLYN,NY,KINGS,CORROSION,EXTERNAL,0,0,499335,0,0,
"Buckeye Partners, Lp",5/20/10,HL,LINDEN,NJ,UNION,CORROSION,EXTERNAL,0,0,305195,1,0,
"Buckeye Partners, Lp",4/29/10,HL,LINDEN,NJ,UNION,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0,0,23607,0,0,
"Buckeye Partners, Lp",3/29/10,HL,BOURBONNAIS,IL,KANKAKEE,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,115290,40,0,
